

==================================================
BẮT ĐẦU CHẠY THÍ NGHIỆM GAT - 2026-03-10 09:48:42.923119
==================================================

[GAT - 1. MSP (No - No - No)] - cora (structure)
Namespace(dataset='cora', ood_type='structure', data_dir='../../data/', device=0, cpu=False, seed=123, train_prop=0.1, valid_prop=0.1, runs=1, epochs=200, method='msp', backbone='gat', hidden_channels=64, num_layers=2, gat_heads=8, out_heads=1, hops=2, T=1.0, use_reg=False, lamda=1.0, m_in=-5, m_out=-1, use_prop=False, K=2, alpha=0.5, noise=0.0, weight_decay=0.01, dropout=0.0, lr=0.01, use_bn=False, display_step=1, cached=False, print_prop=False, print_args=False, mode='detect', use_occ=False, beta=1.0, nu=0.01)
ind dataset cora: all nodes 2708 | centered nodes 2708 | edges 10556 | classes 7 | feats 1433
ood tr dataset cora: all nodes 2708 | centered nodes 2708 | edges 6680
ood te dataset cora: all nodes 2708 | centered nodes 2708 | edges 6696
MODEL: MSP(
  (encoder): GAT(
    (convs): ModuleList(
      (0): GATConv(1433, 64, heads=2)
      (1): GATConv(128, 7, heads=1)
    )
    (bns): ModuleList(
      (0): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
)
Epoch: 00, Loss: 1.9451, AUROC: 49.09%, AUPR: 28.22%, FPR95: 95.86%, Test Score: 6.40%
Epoch: 01, Loss: 1.9379, AUROC: 55.68%, AUPR: 34.13%, FPR95: 97.67%, Test Score: 19.30%
Epoch: 02, Loss: 1.9302, AUROC: 70.11%, AUPR: 43.98%, FPR95: 83.75%, Test Score: 63.70%
Epoch: 03, Loss: 1.9257, AUROC: 62.27%, AUPR: 39.49%, FPR95: 94.79%, Test Score: 44.70%
Epoch: 04, Loss: 1.9230, AUROC: 57.72%, AUPR: 37.32%, FPR95: 97.93%, Test Score: 42.00%
Epoch: 05, Loss: 1.9213, AUROC: 59.98%, AUPR: 38.20%, FPR95: 95.16%, Test Score: 43.80%
Epoch: 06, Loss: 1.9203, AUROC: 68.10%, AUPR: 42.29%, FPR95: 82.13%, Test Score: 52.10%
Epoch: 07, Loss: 1.9201, AUROC: 74.96%, AUPR: 47.73%, FPR95: 74.19%, Test Score: 67.90%
Epoch: 08, Loss: 1.9205, AUROC: 61.45%, AUPR: 38.70%, FPR95: 93.13%, Test Score: 40.00%
Epoch: 09, Loss: 1.9215, AUROC: 55.33%, AUPR: 35.49%, FPR95: 96.42%, Test Score: 27.70%
Epoch: 10, Loss: 1.9228, AUROC: 54.67%, AUPR: 35.08%, FPR95: 97.19%, Test Score: 26.40%
Epoch: 11, Loss: 1.9243, AUROC: 56.11%, AUPR: 35.88%, FPR95: 95.94%, Test Score: 30.10%
Epoch: 12, Loss: 1.9259, AUROC: 60.87%, AUPR: 38.66%, FPR95: 92.95%, Test Score: 41.00%
Epoch: 13, Loss: 1.9275, AUROC: 66.96%, AUPR: 41.93%, FPR95: 86.48%, Test Score: 56.00%
Epoch: 14, Loss: 1.9292, AUROC: 61.92%, AUPR: 37.19%, FPR95: 90.81%, Test Score: 54.70%
Epoch: 15, Loss: 1.9308, AUROC: 55.17%, AUPR: 33.72%, FPR95: 95.05%, Test Score: 49.40%
Epoch: 16, Loss: 1.9323, AUROC: 56.64%, AUPR: 34.62%, FPR95: 94.20%, Test Score: 46.00%
Epoch: 17, Loss: 1.9338, AUROC: 65.71%, AUPR: 39.27%, FPR95: 86.48%, Test Score: 47.50%
Epoch: 18, Loss: 1.9351, AUROC: 71.74%, AUPR: 43.86%, FPR95: 79.91%, Test Score: 45.40%
Epoch: 19, Loss: 1.9363, AUROC: 68.87%, AUPR: 42.81%, FPR95: 84.49%, Test Score: 40.30%
Epoch: 20, Loss: 1.9374, AUROC: 65.03%, AUPR: 40.30%, FPR95: 89.88%, Test Score: 35.10%
Epoch: 21, Loss: 1.9384, AUROC: 63.91%, AUPR: 39.36%, FPR95: 91.32%, Test Score: 33.60%
Epoch: 22, Loss: 1.9393, AUROC: 65.91%, AUPR: 40.20%, FPR95: 88.18%, Test Score: 34.70%
Epoch: 23, Loss: 1.9400, AUROC: 68.83%, AUPR: 40.75%, FPR95: 80.24%, Test Score: 43.30%
Epoch: 24, Loss: 1.9407, AUROC: 64.11%, AUPR: 36.93%, FPR95: 90.29%, Test Score: 45.70%
Epoch: 25, Loss: 1.9413, AUROC: 58.67%, AUPR: 33.79%, FPR95: 92.50%, Test Score: 31.70%
Epoch: 26, Loss: 1.9417, AUROC: 56.13%, AUPR: 32.55%, FPR95: 94.83%, Test Score: 23.40%
Epoch: 27, Loss: 1.9421, AUROC: 55.73%, AUPR: 32.41%, FPR95: 94.87%, Test Score: 22.70%
Epoch: 28, Loss: 1.9424, AUROC: 57.13%, AUPR: 33.06%, FPR95: 93.21%, Test Score: 23.40%
Epoch: 29, Loss: 1.9427, AUROC: 60.31%, AUPR: 34.79%, FPR95: 93.91%, Test Score: 28.50%
Epoch: 30, Loss: 1.9429, AUROC: 62.03%, AUPR: 36.72%, FPR95: 94.57%, Test Score: 24.30%
Epoch: 31, Loss: 1.9431, AUROC: 60.75%, AUPR: 37.73%, FPR95: 94.87%, Test Score: 22.30%
Epoch: 32, Loss: 1.9433, AUROC: 59.85%, AUPR: 38.19%, FPR95: 96.68%, Test Score: 21.80%
Epoch: 33, Loss: 1.9435, AUROC: 59.84%, AUPR: 38.39%, FPR95: 96.49%, Test Score: 24.20%
Epoch: 34, Loss: 1.9437, AUROC: 61.88%, AUPR: 39.20%, FPR95: 91.95%, Test Score: 36.30%
Epoch: 35, Loss: 1.9438, AUROC: 67.87%, AUPR: 41.50%, FPR95: 89.92%, Test Score: 50.00%
Epoch: 36, Loss: 1.9440, AUROC: 65.76%, AUPR: 39.79%, FPR95: 92.98%, Test Score: 56.10%
Epoch: 37, Loss: 1.9441, AUROC: 64.73%, AUPR: 37.67%, FPR95: 91.80%, Test Score: 52.60%
Epoch: 38, Loss: 1.9443, AUROC: 60.57%, AUPR: 34.97%, FPR95: 88.04%, Test Score: 34.70%
Epoch: 39, Loss: 1.9444, AUROC: 57.09%, AUPR: 33.35%, FPR95: 94.09%, Test Score: 25.00%
Epoch: 40, Loss: 1.9445, AUROC: 54.85%, AUPR: 32.30%, FPR95: 93.72%, Test Score: 25.10%
Epoch: 41, Loss: 1.9446, AUROC: 53.36%, AUPR: 31.67%, FPR95: 92.95%, Test Score: 24.40%
Epoch: 42, Loss: 1.9448, AUROC: 53.00%, AUPR: 31.46%, FPR95: 93.35%, Test Score: 25.90%
Epoch: 43, Loss: 1.9449, AUROC: 56.43%, AUPR: 33.11%, FPR95: 94.57%, Test Score: 22.50%
Epoch: 44, Loss: 1.9450, AUROC: 58.27%, AUPR: 35.77%, FPR95: 96.90%, Test Score: 22.50%
Epoch: 45, Loss: 1.9450, AUROC: 58.75%, AUPR: 37.68%, FPR95: 96.42%, Test Score: 21.50%
Epoch: 46, Loss: 1.9451, AUROC: 58.44%, AUPR: 37.18%, FPR95: 94.28%, Test Score: 20.50%
Epoch: 47, Loss: 1.9452, AUROC: 57.17%, AUPR: 36.20%, FPR95: 93.94%, Test Score: 20.60%
Epoch: 48, Loss: 1.9453, AUROC: 61.83%, AUPR: 38.00%, FPR95: 96.82%, Test Score: 35.10%
Epoch: 49, Loss: 1.9453, AUROC: 60.41%, AUPR: 39.75%, FPR95: 98.74%, Test Score: 44.50%
Epoch: 50, Loss: 1.9454, AUROC: 58.20%, AUPR: 38.26%, FPR95: 98.26%, Test Score: 44.10%
Epoch: 51, Loss: 1.9454, AUROC: 69.67%, AUPR: 44.08%, FPR95: 89.25%, Test Score: 59.40%
Epoch: 52, Loss: 1.9455, AUROC: 58.79%, AUPR: 36.88%, FPR95: 95.83%, Test Score: 24.80%
Epoch: 53, Loss: 1.9455, AUROC: 55.64%, AUPR: 34.74%, FPR95: 97.67%, Test Score: 20.30%
Epoch: 54, Loss: 1.9456, AUROC: 53.25%, AUPR: 32.47%, FPR95: 95.79%, Test Score: 20.40%
Epoch: 55, Loss: 1.9456, AUROC: 50.24%, AUPR: 30.63%, FPR95: 97.19%, Test Score: 20.40%
Epoch: 56, Loss: 1.9456, AUROC: 48.43%, AUPR: 29.74%, FPR95: 96.68%, Test Score: 20.30%
